Z  N   AME2020   Prediction   Difference
008 008  -2.750      0.917     -3.667
008 009   1.270      2.607     -1.337
008 010   0.930      0.609      0.321
008 011   5.150      5.237     -0.087
008 012   3.240      4.178     -0.938
008 013   9.080      8.652      0.428
008 014   9.380      8.196      1.184
008 015  14.860     14.978     -0.118
008 016  19.130     18.988      0.142
008 017  29.590     27.251      2.339
008 018  34.840     34.099      0.741
008 019  46.970     47.400     -0.430
008 020  50.690     50.590      0.100
008 021  62.850     64.481     -1.631
008 022  70.200     70.861     -0.661
008 023  80.500     80.291      0.209
008 024  88.100     87.453      0.647
008 025  96.020     95.672      0.348
008 026 106.500    104.145      2.355
009 008   4.210      2.430      1.780
009 009   2.370      2.377     -0.007
009 010   0.890     -2.363      3.253
009 011  -0.910     -0.165     -0.745
009 012  -2.850     -2.651     -0.199
009 013   1.810      2.336     -0.526
009 014   1.470     -0.077      1.547
009 015   5.470      6.861     -1.391
009 016   9.310      8.469      0.841
009 017  17.510     17.973     -0.463
009 018  22.410     25.397     -2.987
009 019  32.250     37.979     -5.729
009 020  37.380     40.681     -3.301
009 021  47.410     47.137      0.273
009 022  53.590     54.334     -0.744
009 023  64.570     65.954     -1.384
009 024  71.940     73.721     -1.781
009 025  82.100     81.524      0.576
009 026  90.300     87.930      2.370
009 027  99.820     99.481      0.339
009 028 109.040    106.581      2.459
009 029 120.280    116.912      3.368
010 008   7.320      5.371      1.949
010 009   4.110      1.820      2.290
010 010  -9.140     -4.361     -4.779
010 011  -6.270     -6.194     -0.076
010 012  -8.290     -9.091      0.801
010 013  -4.790     -5.950      1.160
010 014  -6.810     -7.030      0.220
010 015  -3.020     -3.609      0.589
010 016  -0.130     -0.609      0.479
010 017   6.450      7.338     -0.888
010 018  10.840     15.233     -4.393
010 019  18.870     23.551     -4.681
010 020  22.100     23.754     -1.654
010 021  32.630     32.261      0.369
010 022  37.730     36.682      1.048
010 023  47.580     45.285      2.295
010 024  53.750     54.221     -0.471
010 025  64.350     63.043      1.307
010 026  71.100     70.058      1.042
010 027  81.270     79.364      1.906
010 028  88.320     89.729     -1.409
010 029 100.100     99.191      0.909
010 030 106.620    106.995     -0.375
010 031 117.870    120.294     -2.424
010 032 124.200    123.707      0.493
011 008  12.380     10.282      2.098
011 009   6.090      6.586     -0.496
011 010  -2.590      0.745     -3.335
011 011  -4.810     -1.962     -2.848
011 012  -8.980     -7.397     -1.583
011 013  -7.520     -7.719      0.199
011 014  -9.160    -11.386      2.226
011 015  -7.120    -10.569      3.449
011 016  -5.250     -4.278     -0.972
011 017  -0.530      4.944     -5.474
011 018   2.820      4.511     -1.691
